part_no,product_permalink
AA.21015.1,https://keypak.tbkdev.com/product/tan-hot-melt-hand-tape-2-x-110-yards-48mm-x-100m/
AA.21021.4,https://keypak.tbkdev.com/product/heavy-duty-hot-melt-hand-tape-2-x-110-yards-48mm-x-100m/
AA.21022.4,https://keypak.tbkdev.com/product/tan-heavy-duty-hot-melt-hand-tape-2-x-110-yards-48mm-x-100m/
AA.21039.4,https://keypak.tbkdev.com/product/yellow-carton-sealing-tape-2-x-110-yards-48mm-x-100m/
AA.21040.4,https://keypak.tbkdev.com/product/white-carton-sealing-tape-2-x-110-yards-48mm-x-100m/
AA.21041.4,https://keypak.tbkdev.com/product/red-carton-sealing-tape-2-x-110-yards-48mm-x-100m/
AA.21042.4,https://keypak.tbkdev.com/product/blue-carton-sealing-tape-2-x-110-yards-48mm-x-100m/
AA.21044.4,https://keypak.tbkdev.com/product/orange-carton-sealing-tape-2-x-110-yards-48mm-x-100m/
AA.21045.4,https://keypak.tbkdev.com/product/green-carton-sealing-tape-2-x-110-yards-48mm-x-100m/
AA.21159.0,https://keypak.tbkdev.com/product/premium-hot-melt-hand-tape-2-x-55-yards-48mm-x-50m/
AA.21168.0,https://keypak.tbkdev.com/product/industrial-hot-melt-machine-tape-2-x-1859-yards-48mm-x-1700m/
AA.21509.4,https://keypak.tbkdev.com/product/heavy-duty-hot-melt-machine-tape-2-x-1000-yards-48mm-x-914m/
AA.21560.0,https://keypak.tbkdev.com/product/cold-temp-heavy-duty-hot-melt-machine-tape-2-x-1000-yards-48mm-x-914m/
AA.21570.0,https://keypak.tbkdev.com/product/industrial-hot-melt-machine-tape-3-x-1000-yards-72mm-x-914m/
AA.21811.4,https://keypak.tbkdev.com/product/industrial-hot-melt-machine-tape-2-x-2000-yards-48mm-x-1828m/
AA.22020.1,https://keypak.tbkdev.com/product/heavy-duty-hot-melt-hand-tape-supertack-2-x-110-yards-48mm-x-100m/
AA.23527.4,https://keypak.tbkdev.com/product/industrial-hot-melt-machine-tape-3-x-1500-yards-72mm-x-1371m/
AA.24322.0,https://keypak.tbkdev.com/product/cold-temp-hot-melt-hand-tape-3-x-110-yards-72mm-x-100m/
AA.24502.0,https://keypak.tbkdev.com/product/cold-temp-hot-melt-hand-tape-2-x-110-yards-72mm-x-100m/
AA.31012.1,https://keypak.tbkdev.com/product/industrial-hot-melt-hand-tape-2-x-110-yards-48mm-x-100m/
AA.31021.4,https://keypak.tbkdev.com/product/heavy-duty-hot-melt-hand-tape-3-x-110-yards-72mm-x-100m/
